,US_M2_USD,dff,^GSPC,gini_coefficient
1995-10-01,3602300.0,6.2,581.719970703125,0.484211932003801
1995-11-01,3622900.0,5.76,584.219970703125,0.4860092309534911
1995-12-01,3653300.0,5.56,606.97998046875,0.4869027773316195
1996-01-01,3651300.0,4.73,620.72998046875,0.4871360373843719
1996-02-01,3647500.0,5.27,638.4600219726562,0.4883102155518171
1996-03-01,3694000.0,5.81,644.3699951171875,0.4886102243401912
1996-04-01,3720600.0,5.53,653.72998046875,0.489368930237667
1996-05-01,3690100.0,5.41,654.5800170898438,0.4887744506068777
1996-06-01,3721000.0,5.31,667.6799926757812,0.4885035137906644
1996-07-01,3734100.0,7.8,675.8800048828125,0.4892840754353002
1996-08-01,3741600.0,6.29,650.02001953125,0.4882873200778428
1996-09-01,3744200.0,5.28,654.719970703125,0.4891294960642048
1996-10-01,3758700.0,5.53,689.0800170898438,0.4896721262415342
1996-11-01,3797200.0,5.19,703.77001953125,0.4888063210242537
1996-12-01,3839800.0,5.44,756.5599975585938,0.4897553142603516
1997-01-01,3839500.0,6.26,737.010009765625,0.4893408154403299
1997-02-01,3835100.0,5.37,786.72998046875,0.4888436118283749
1997-03-01,3873200.0,5.5,795.3099975585938,0.4894453769215684
1997-04-01,3905700.0,6.18,759.6400146484375,0.4891311373671815
1997-05-01,3869400.0,5.73,798.530029296875,0.4891181049449989
1997-06-01,3899500.0,5.58,846.3599853515625,0.4896519963798081
1997-07-01,3918500.0,6.24,891.030029296875,0.4894390620283774
1997-08-01,3953200.0,5.65,947.1400146484375,0.4909142322966977
1997-09-01,3961500.0,5.52,927.5800170898438,0.4903068904285723
1997-10-01,3977200.0,5.65,955.4099731445312,0.4904990451186077
1997-11-01,4015800.0,5.56,938.989990234375,0.4899575711099001
1997-12-01,4055100.0,5.92,974.77001953125,0.4891875016982716
1998-01-01,4062500.0,5.84,975.0399780273438,0.4896257323901729
1998-02-01,4080100.0,5.48,1001.27001953125,0.4890713457407042
1998-03-01,4131700.0,5.57,1047.699951171875,0.4887431463247568
1998-04-01,4174600.0,5.72,1108.1500244140625,0.4890714073776162
1998-05-01,4144000.0,5.46,1121.0,0.4897144266930367
1998-06-01,4174600.0,5.79,1090.97998046875,0.4901429174780972
1998-07-01,4193200.0,6.35,1148.56005859375,0.4913699057175795
1998-08-01,4220300.0,5.63,1112.43994140625,0.4910780753310176
1998-09-01,4254500.0,5.75,994.260009765625,0.4913886594024847
1998-10-01,4291500.0,5.73,986.3900146484375,0.4915635007809709
1998-11-01,4346200.0,5.35,1111.5999755859375,0.4909328880259633
1998-12-01,4400000.0,4.82,1175.280029296875,0.4918415250013353
1999-01-01,4409900.0,4.07,1228.0999755859375,0.4922730657744464
1999-02-01,4419200.0,4.86,1273.0,0.492555217662729
1999-03-01,4456200.0,5.1,1236.1600341796875,0.4935838678053793
1999-04-01,4502100.0,5.41,1293.719970703125,0.4931626877887041
1999-05-01,4464800.0,5.03,1354.6300048828125,0.4936956749244759
1999-06-01,4495600.0,4.78,1294.260009765625,0.4927643383381013
1999-07-01,4520500.0,5.76,1380.9599609375,0.4926646263529685
1999-08-01,4540400.0,5.07,1328.050048828125,0.4935226437690973
1999-09-01,4554200.0,5.41,1331.0699462890625,0.4927251550361661
1999-10-01,4575900.0,5.26,1282.81005859375,0.4933850898164164
1999-11-01,4611400.0,5.38,1354.1199951171875,0.4944995023672237
1999-12-01,4665800.0,5.71,1397.719970703125,0.4942638215935129
2000-01-01,4674000.0,3.99,1455.219970703125,0.4939882292401319
2000-02-01,4675900.0,5.79,1409.280029296875,0.4947865140715286
2000-03-01,4737600.0,5.78,1379.18994140625,0.4948961809481272
2000-04-01,4807700.0,6.17,1505.969970703125,0.4963076413433581
2000-05-01,4734100.0,6.17,1468.25,0.4976495022752869
2000-06-01,4759500.0,6.65,1448.81005859375,0.4988669792459365
2000-07-01,4775700.0,6.86,1469.5400390625,0.4990175044763773
2000-08-01,4806400.0,6.51,1438.0999755859375,0.4990241743269838
2000-09-01,4842100.0,6.52,1520.77001953125,0.5003636169613916
2000-10-01,4856000.0,6.6,1436.22998046875,0.5000025803498576
2000-11-01,4884500.0,6.61,1421.219970703125,0.5008741975466589
2000-12-01,4955600.0,6.6,1315.22998046875,0.5013526273212512
2001-01-01,4981700.0,5.41,1283.27001953125,0.4993249551066433
2001-02-01,5011000.0,5.57,1373.469970703125,0.4989164466448051
2001-03-01,5101300.0,5.59,1241.22998046875,0.4990935880662731
2001-04-01,5177500.0,5.29,1145.8699951171875,0.4993526996508706
2001-05-01,5115500.0,4.61,1266.43994140625,0.4977376678922071
2001-06-01,5167300.0,4.14,1260.6700439453125,0.4978439765600871
2001-07-01,5195900.0,3.95,1236.719970703125,0.4964652390151657
2001-08-01,5231800.0,3.79,1215.9300537109375,0.4961721025726526
2001-09-01,5343400.0,3.66,1132.93994140625,0.4952638052685533
2001-10-01,5328600.0,3.02,1038.550048828125,0.4952207472794118
2001-11-01,5391700.0,2.61,1084.0999755859375,0.4942106956730803
2001-12-01,5471800.0,2.06,1129.9000244140625,0.4957294250827898
2002-01-01,5458000.0,1.52,1154.6700439453125,0.4953983166629851
2002-02-01,5477400.0,1.77,1122.199951171875,0.4948325373706418
2002-03-01,5526300.0,1.78,1131.780029296875,0.4945225263411291
2002-04-01,5540400.0,1.88,1146.5400390625,0.4933902329976149
2002-05-01,5506700.0,1.88,1086.4599609375,0.4935328680637188
2002-06-01,5544700.0,1.79,1040.6800537109375,0.493057206326591
2002-07-01,5585700.0,1.83,968.6500244140625,0.4938092722434251
2002-08-01,5628500.0,1.79,884.6599731445312,0.4933313578467284
2002-09-01,5653000.0,1.81,878.02001953125,0.4932863311487669
2002-10-01,5692100.0,1.85,847.9099731445312,0.4933482777236861
